SNP,Chr,Pos,Effect,SE,MID2_MAM33_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
4689,7,868485,-0.0629308297526477,0.0551650891747353,0.254737854105294,YGR186W,TFG1,SGDID:S000003418,CDS,CDS,"""TFIIF (Transcription Factor II) largest subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP74""",Verified ORF
4690,7,868494,-0.032330882766969,0.0553667477607155,0.559633334674371,YGR186W,TFG1,SGDID:S000003418,CDS,CDS,"""TFIIF (Transcription Factor II) largest subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP74""",Verified ORF
4691,7,868670,-0.0978655943178433,0.0548235811120479,0.0751035662188244,YGR186W,TFG1,SGDID:S000003418,CDS,CDS,"""TFIIF (Transcription Factor II) largest subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP74""",Verified ORF
4692,7,869033,-0.105097832259423,0.0550409333132317,0.0570146740854141,YGR186W,TFG1,SGDID:S000003418,CDS,CDS,"""TFIIF (Transcription Factor II) largest subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP74""",Verified ORF
4693,7,869127,-0.111632151058753,0.0546441498541902,0.0418053531661434,YGR186W,TFG1,SGDID:S000003418,CDS,CDS,"""TFIIF (Transcription Factor II) largest subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP74""",Verified ORF
4694,7,869641,-0.04135449187309,0.0550046851906294,0.452650789247669,YGR186W,TFG1,SGDID:S000003418,CDS,CDS,"""TFIIF (Transcription Factor II) largest subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP74""",Verified ORF
4697,7,870220,-0.0434506755777398,0.0549800853488064,0.429884083421877,YGR186W,TFG1,SGDID:S000003418,Close to 3'-UTR,Close to 3'-UTR,"""TFIIF (Transcription Factor II) largest subunit; involved in both transcription initiation and elongation of RNA polymerase II; homologous to human RAP74""",Verified ORF
4699,7,871790,-0.0494667585702446,0.0557864819210423,0.375835591464006,YGR187C,HGH1,SGDID:S000003419,Close to 3'-UTR,Close to 3'-UTR,"""Chaperone protein for translation factor eEF2; involved in biogenesis of eukaryotic Elongation Factor 2 (Eft1p ; Eft2p); green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; similar to mammalian BRP16 (Brain protein 16); relative distribution to the nucleus increases upon DNA replication stress""",Verified ORF
4700,7,873474,-0.0650541996137753,0.0563975621064111,0.2494884538065,YGR188C,BUB1,SGDID:S000003420,CDS,CDS,"""Protein kinase involved in the cell cycle checkpoint into anaphase; in complex with Mad1p and Bub3p ; prevents progression into anaphase in presence of spindle damage; Cdc28p-mediated phosphorylation at Bub1p-T566 is important for degradation in anaphase and adaptation of checkpoint to prolonged mitotic arrest; associates with centromere DNA via Skp1p; involved in Sgo1p relocalization in response to sister kinetochore tension; paralog MAD3 arose from whole genome duplication""",Verified ORF
4701,7,873805,0.0245890625684946,0.0552348942898415,0.65646787199739,YGR188C,BUB1,SGDID:S000003420,CDS,CDS,"""Protein kinase involved in the cell cycle checkpoint into anaphase; in complex with Mad1p and Bub3p ; prevents progression into anaphase in presence of spindle damage; Cdc28p-mediated phosphorylation at Bub1p-T566 is important for degradation in anaphase and adaptation of checkpoint to prolonged mitotic arrest; associates with centromere DNA via Skp1p; involved in Sgo1p relocalization in response to sister kinetochore tension; paralog MAD3 arose from whole genome duplication""",Verified ORF
4702,7,874582,-0.0086827828635915,0.0551143360842984,0.874908354251647,YGR188C,BUB1,SGDID:S000003420,CDS,CDS,"""Protein kinase involved in the cell cycle checkpoint into anaphase; in complex with Mad1p and Bub3p ; prevents progression into anaphase in presence of spindle damage; Cdc28p-mediated phosphorylation at Bub1p-T566 is important for degradation in anaphase and adaptation of checkpoint to prolonged mitotic arrest; associates with centromere DNA via Skp1p; involved in Sgo1p relocalization in response to sister kinetochore tension; paralog MAD3 arose from whole genome duplication""",Verified ORF
4703,7,875048,-0.0128403408347756,0.0550244586550125,0.815619485226097,YGR188C,BUB1,SGDID:S000003420,CDS,CDS,"""Protein kinase involved in the cell cycle checkpoint into anaphase; in complex with Mad1p and Bub3p ; prevents progression into anaphase in presence of spindle damage; Cdc28p-mediated phosphorylation at Bub1p-T566 is important for degradation in anaphase and adaptation of checkpoint to prolonged mitotic arrest; associates with centromere DNA via Skp1p; involved in Sgo1p relocalization in response to sister kinetochore tension; paralog MAD3 arose from whole genome duplication""",Verified ORF
4704,7,875085,-0.0081150193801093,0.0550026832149017,0.882791139980757,YGR188C,BUB1,SGDID:S000003420,CDS,CDS,"""Protein kinase involved in the cell cycle checkpoint into anaphase; in complex with Mad1p and Bub3p ; prevents progression into anaphase in presence of spindle damage; Cdc28p-mediated phosphorylation at Bub1p-T566 is important for degradation in anaphase and adaptation of checkpoint to prolonged mitotic arrest; associates with centromere DNA via Skp1p; involved in Sgo1p relocalization in response to sister kinetochore tension; paralog MAD3 arose from whole genome duplication""",Verified ORF
4706,7,876290,-0.0078213374465852,0.0550954954270653,0.88719285928015,YGR189C,CRH1,SGDID:S000003421,Close to 3'-UTR,Close to 3'-UTR,"""Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally redundant to Utr2; localizes to sites of polarized growth; expression induced by cell wall stress""",Verified ORF
4707,7,876358,-0.0004887452687942,0.0552046965940484,0.992941160009956,YGR189C,CRH1,SGDID:S000003421,Close to 3'-UTR,Close to 3'-UTR,"""Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally redundant to Utr2; localizes to sites of polarized growth; expression induced by cell wall stress""",Verified ORF
4715,7,877072,-0.0017436823939552,0.0557723232511415,0.975076433540642,YGR189C,CRH1,SGDID:S000003421,CDS,CDS,"""Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally redundant to Utr2; localizes to sites of polarized growth; expression induced by cell wall stress""",Verified ORF
4716,7,877185,0.0045237381723433,0.055115747669754,0.934631958604797,YGR189C,CRH1,SGDID:S000003421,CDS,CDS,"""Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally redundant to Utr2; localizes to sites of polarized growth; expression induced by cell wall stress""",Verified ORF
4717,7,877194,-0.0049410282845383,0.0551593703162152,0.928673913528147,YGR189C,CRH1,SGDID:S000003421,CDS,CDS,"""Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally redundant to Utr2; localizes to sites of polarized growth; expression induced by cell wall stress""",Verified ORF
4718,7,877211,-7.42529558479532e-05,0.0552266567798445,0.998927993669702,YGR189C,CRH1,SGDID:S000003421,CDS,CDS,"""Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally redundant to Utr2; localizes to sites of polarized growth; expression induced by cell wall stress""",Verified ORF
4719,7,877213,0.0070449781265067,0.0557946853935225,0.899593164231406,YGR189C,CRH1,SGDID:S000003421,CDS,CDS,"""Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally redundant to Utr2; localizes to sites of polarized growth; expression induced by cell wall stress""",Verified ORF
4720,7,877846,0.0063473492330152,0.0558126011453238,0.90951957719567,YGR189C,CRH1,SGDID:S000003421,CDS,CDS,"""Chitin transglycosylase; functions in the transfer of chitin to beta(1-6) and beta(1-3) glucans in the cell wall; similar and functionally redundant to Utr2; localizes to sites of polarized growth; expression induced by cell wall stress""",Verified ORF
4721,7,885002,0.021201174938243,0.0552917486425769,0.701622939957338,CUT160,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
4725,7,886493,0.0229320432839548,0.0551925250265987,0.678034338230614,YGR194C,XKS1,SGDID:S000003426,CDS,CDS,"""Xylulokinase; converts D-xylulose and ATP to xylulose 5-phosphate and ADP; rate limiting step in fermentation of xylulose; required for xylose fermentation by recombinant S. cerevisiae strains""",Verified ORF
4726,7,886545,0.0094072255056431,0.0555528631356774,0.865627574961515,YGR194C,XKS1,SGDID:S000003426,CDS,CDS,"""Xylulokinase; converts D-xylulose and ATP to xylulose 5-phosphate and ADP; rate limiting step in fermentation of xylulose; required for xylose fermentation by recombinant S. cerevisiae strains""",Verified ORF
4727,7,886697,-0.0073381569239123,0.0559428728680099,0.89571370976154,YGR194C,XKS1,SGDID:S000003426,CDS,CDS,"""Xylulokinase; converts D-xylulose and ATP to xylulose 5-phosphate and ADP; rate limiting step in fermentation of xylulose; required for xylose fermentation by recombinant S. cerevisiae strains""",Verified ORF
4728,7,886766,0.0330356831557796,0.0559138564686857,0.55501123299047,YGR194C,XKS1,SGDID:S000003426,CDS,CDS,"""Xylulokinase; converts D-xylulose and ATP to xylulose 5-phosphate and ADP; rate limiting step in fermentation of xylulose; required for xylose fermentation by recombinant S. cerevisiae strains""",Verified ORF
4729,7,887971,0.0431873581675,0.0560581212827885,0.441576019091416,YGR194C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4732,7,889615,0.0401963977024054,0.0559005707483317,0.472573806125955,YGR195W,SKI6,SGDID:S000003427,CDS,CDS,"""Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp41p (EXOSC4)""",Verified ORF
4733,7,891245,0.0383698184054881,0.0557935013847053,0.492086251624128,YGR196C,FYV8,SGDID:S000003428,CDS,CDS,"""Protein of unknown function; required for survival upon exposure to K1 killer toxin""",Verified ORF
4734,7,891293,0.014471707383706,0.0559361932854884,0.796003519443997,YGR196C,FYV8,SGDID:S000003428,CDS,CDS,"""Protein of unknown function; required for survival upon exposure to K1 killer toxin""",Verified ORF
4735,7,892049,0.0293879320261425,0.0559292199089942,0.599601245299963,YGR196C,FYV8,SGDID:S000003428,CDS,CDS,"""Protein of unknown function; required for survival upon exposure to K1 killer toxin""",Verified ORF
4736,7,892105,0.0263143126028949,0.0563779753469545,0.640968048355751,YGR196C,FYV8,SGDID:S000003428,CDS,CDS,"""Protein of unknown function; required for survival upon exposure to K1 killer toxin""",Verified ORF
4738,7,893214,0.0214858233057844,0.0560526113336863,0.701716737332147,YGR197C,SNG1,SGDID:S000003429,CDS,CDS,"""Protein involved in resistance to nitrosoguanidine and 6-azauracil; expression is regulated by transcription factors involved in multidrug resistance; SNG1 has a paralog ; YJR015W ; that arose from the whole genome duplication""",Verified ORF
4739,7,893850,0.0329241834680392,0.0560520640008692,0.55732018161127,YGR197C,SNG1,SGDID:S000003429,CDS,CDS,"""Protein involved in resistance to nitrosoguanidine and 6-azauracil; expression is regulated by transcription factors involved in multidrug resistance; SNG1 has a paralog ; YJR015W ; that arose from the whole genome duplication""",Verified ORF
4740,7,894012,0.011764768398532,0.0565252371512026,0.835245136458675,YGR197C,SNG1,SGDID:S000003429,CDS,CDS,"""Protein involved in resistance to nitrosoguanidine and 6-azauracil; expression is regulated by transcription factors involved in multidrug resistance; SNG1 has a paralog ; YJR015W ; that arose from the whole genome duplication""",Verified ORF
4741,7,895001,0.0019796935330518,0.0561785166599651,0.971908815503453,YGR198W,YPP1,SGDID:S000003430,CDS,CDS,"""Cargo-transport protein involved in endocytosis; interacts with phosphatidylinositol-4-kinase Stt4p; is required ; along with Efr3p ; for the assembly and recruitment of multiple copies of the kinase into phosphoinositide kinase (PIK) patches at the plasma membrane; positively regulates Stt4p; GFP-fusion protein localizes to the cytoplasm; YGR198W is an essential gene""",Verified ORF
4742,7,895337,0.0292577956144902,0.0566264047393957,0.605702300170525,YGR198W,YPP1,SGDID:S000003430,CDS,CDS,"""Cargo-transport protein involved in endocytosis; interacts with phosphatidylinositol-4-kinase Stt4p; is required ; along with Efr3p ; for the assembly and recruitment of multiple copies of the kinase into phosphoinositide kinase (PIK) patches at the plasma membrane; positively regulates Stt4p; GFP-fusion protein localizes to the cytoplasm; YGR198W is an essential gene""",Verified ORF
4743,7,895450,0.0204251713846795,0.0557080244710633,0.714102129753152,YGR198W,YPP1,SGDID:S000003430,CDS,CDS,"""Cargo-transport protein involved in endocytosis; interacts with phosphatidylinositol-4-kinase Stt4p; is required ; along with Efr3p ; for the assembly and recruitment of multiple copies of the kinase into phosphoinositide kinase (PIK) patches at the plasma membrane; positively regulates Stt4p; GFP-fusion protein localizes to the cytoplasm; YGR198W is an essential gene""",Verified ORF
4745,7,895762,0.010136065759502,0.056098489119063,0.856719776997553,YGR198W,YPP1,SGDID:S000003430,CDS,CDS,"""Cargo-transport protein involved in endocytosis; interacts with phosphatidylinositol-4-kinase Stt4p; is required ; along with Efr3p ; for the assembly and recruitment of multiple copies of the kinase into phosphoinositide kinase (PIK) patches at the plasma membrane; positively regulates Stt4p; GFP-fusion protein localizes to the cytoplasm; YGR198W is an essential gene""",Verified ORF
4746,7,895768,-0.0289105759795022,0.0553419720437009,0.60172041741881,YGR198W,YPP1,SGDID:S000003430,CDS,CDS,"""Cargo-transport protein involved in endocytosis; interacts with phosphatidylinositol-4-kinase Stt4p; is required ; along with Efr3p ; for the assembly and recruitment of multiple copies of the kinase into phosphoinositide kinase (PIK) patches at the plasma membrane; positively regulates Stt4p; GFP-fusion protein localizes to the cytoplasm; YGR198W is an essential gene""",Verified ORF
